"Sr.No","Memo ID","Service Centre","Dealership","OEM","Region","State","City","Machine","Date of Memo","Due Date","TotalAmount","Month","Status"
25,"AM/BV/909","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:21 AM","10/01/2023 10:21 AM","88500.00","October","PENDING"
26,"AM/BV/908","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:21 AM","10/01/2023 10:21 AM","88500.00","October","PENDING"
27,"AM/BV/907","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:21 AM","10/01/2023 10:21 AM","70800.00","October","PENDING"
28,"AM/BV/906","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:20 AM","10/01/2023 10:20 AM","88500.00","October","PENDING"
29,"AM/BV/905","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:20 AM","10/01/2023 10:20 AM","88500.00","October","PENDING"
30,"AM/BV/904","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:20 AM","10/01/2023 10:20 AM","70800.00","October","PENDING"
31,"AM/BV/903","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:19 AM","10/01/2023 10:19 AM","88500.00","October","PENDING"
32,"AM/BV/902","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:19 AM","10/01/2023 10:19 AM","88500.00","October","PENDING"
33,"AM/BV/901","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:19 AM","10/01/2023 10:19 AM","70800.00","October","PENDING"
34,"AM/BV/900","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:18 AM","10/01/2023 10:18 AM","88500.00","October","PENDING"
35,"AM/BV/899","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:18 AM","10/01/2023 10:18 AM","88500.00","October","PENDING"
36,"AM/BV/898","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:18 AM","10/01/2023 10:18 AM","70800.00","October","PENDING"
37,"AM/BV/897","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:17 AM","10/01/2023 10:17 AM","88500.00","October","PENDING"
38,"AM/BV/896","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:17 AM","10/01/2023 10:17 AM","88500.00","October","PENDING"
39,"AM/BV/895","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:17 AM","10/01/2023 10:17 AM","70800.00","October","PENDING"
40,"AM/BV/894","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:16 AM","10/01/2023 10:16 AM","88500.00","October","PENDING"
41,"AM/BV/893","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:16 AM","10/01/2023 10:16 AM","88500.00","October","PENDING"
42,"AM/BV/892","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:16 AM","10/01/2023 10:16 AM","70800.00","October","PENDING"
43,"AM/BV/891","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:15 AM","10/01/2023 10:15 AM","88500.00","October","PENDING"
44,"AM/BV/890","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:15 AM","10/01/2023 10:15 AM","88500.00","October","PENDING"
45,"AM/BV/889","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:15 AM","10/01/2023 10:15 AM","70800.00","October","PENDING"
46,"AM/BV/888","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:14 AM","10/01/2023 10:14 AM","88500.00","October","PENDING"
47,"AM/BV/887","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:14 AM","10/01/2023 10:14 AM","88500.00","October","PENDING"
48,"AM/BV/886","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:14 AM","10/01/2023 10:14 AM","70800.00","October","PENDING"
49,"AM/BV/885","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:13 AM","10/01/2023 10:13 AM","88500.00","October","PENDING"
50,"AM/BV/884","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:13 AM","10/01/2023 10:13 AM","88500.00","October","PENDING"
51,"AM/BV/883","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:13 AM","10/01/2023 10:13 AM","70800.00","October","PENDING"
52,"AM/BV/882","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:12 AM","10/01/2023 10:12 AM","88500.00","October","PENDING"
53,"AM/BV/881","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:12 AM","10/01/2023 10:12 AM","88500.00","October","PENDING"
54,"AM/BV/880","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:12 AM","10/01/2023 10:12 AM","70800.00","October","PENDING"
55,"AM/BV/879","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:11 AM","10/01/2023 10:11 AM","88500.00","October","PENDING"
56,"AM/BV/878","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:11 AM","10/01/2023 10:11 AM","88500.00","October","PENDING"
57,"AM/BV/877","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:11 AM","10/01/2023 10:11 AM","70800.00","October","PENDING"
58,"AM/BV/876","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:10 AM","10/01/2023 10:10 AM","88500.00","October","PENDING"
59,"AM/BV/875","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:10 AM","10/01/2023 10:10 AM","88500.00","October","PENDING"
60,"AM/BV/874","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:10 AM","10/01/2023 10:10 AM","70800.00","October","PENDING"
61,"AM/BV/873","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:09 AM","10/01/2023 10:09 AM","88500.00","October","PENDING"
62,"AM/BV/872","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:09 AM","10/01/2023 10:09 AM","88500.00","October","PENDING"
63,"AM/BV/871","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:09 AM","10/01/2023 10:09 AM","70800.00","October","PENDING"
64,"AM/BV/870","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:08 AM","10/01/2023 10:08 AM","88500.00","October","PENDING"
65,"AM/BV/869","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:08 AM","10/01/2023 10:08 AM","88500.00","October","PENDING"
66,"AM/BV/868","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:08 AM","10/01/2023 10:08 AM","70800.00","October","PENDING"
67,"AM/BV/867","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:07 AM","10/01/2023 10:07 AM","88500.00","October","PENDING"
68,"AM/BV/866","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:07 AM","10/01/2023 10:07 AM","88500.00","October","PENDING"
69,"AM/BV/865","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:07 AM","10/01/2023 10:07 AM","70800.00","October","PENDING"
70,"AM/BV/864","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:06 AM","10/01/2023 10:06 AM","88500.00","October","PENDING"
71,"AM/BV/863","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:06 AM","10/01/2023 10:06 AM","88500.00","October","PENDING"
72,"AM/BV/862","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:06 AM","10/01/2023 10:06 AM","70800.00","October","PENDING"
73,"AM/BV/861","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:05 AM","10/01/2023 10:05 AM","88500.00","October","PENDING"
74,"AM/BV/860","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:05 AM","10/01/2023 10:05 AM","88500.00","October","PENDING"
75,"AM/BV/859","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:05 AM","10/01/2023 10:05 AM","70800.00","October","PENDING"
76,"AM/BV/858","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:04 AM","10/01/2023 10:04 AM","88500.00","October","PENDING"
77,"AM/BV/857","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:04 AM","10/01/2023 10:04 AM","88500.00","October","PENDING"
78,"AM/BV/856","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:04 AM","10/01/2023 10:04 AM","70800.00","October","PENDING"
79,"AM/BV/855","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:03 AM","10/01/2023 10:03 AM","88500.00","October","PENDING"
80,"AM/BV/854","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:03 AM","10/01/2023 10:03 AM","88500.00","October","PENDING"
81,"AM/BV/853","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:03 AM","10/01/2023 10:03 AM","70800.00","October","PENDING"
82,"AM/BV/852","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:02 AM","10/01/2023 10:02 AM","88500.00","October","PENDING"
83,"AM/BV/851","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:02 AM","10/01/2023 10:02 AM","88500.00","October","PENDING"
84,"AM/BV/850","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:02 AM","10/01/2023 10:02 AM","70800.00","October","PENDING"
85,"AM/BV/849","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:01 AM","10/01/2023 10:01 AM","88500.00","October","PENDING"
86,"AM/BV/848","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:01 AM","10/01/2023 10:01 AM","88500.00","October","PENDING"
87,"AM/BV/847","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:01 AM","10/01/2023 10:01 AM","70800.00","October","PENDING"
88,"AM/BV/846","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 10:00 AM","10/01/2023 10:00 AM","88500.00","October","PENDING"
89,"AM/BV/845","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 10:00 AM","10/01/2023 10:00 AM","88500.00","October","PENDING"
90,"AM/BV/844","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 10:00 AM","10/01/2023 10:00 AM","70800.00","October","PENDING"
91,"AM/BV/843","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:59 AM","10/01/2023 09:59 AM","88500.00","October","PENDING"
92,"AM/BV/842","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:59 AM","10/01/2023 09:59 AM","88500.00","October","PENDING"
93,"AM/BV/841","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:59 AM","10/01/2023 09:59 AM","70800.00","October","PENDING"
94,"AM/BV/840","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:58 AM","10/01/2023 09:58 AM","88500.00","October","PENDING"
95,"AM/BV/839","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:58 AM","10/01/2023 09:58 AM","88500.00","October","PENDING"
96,"AM/BV/838","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:58 AM","10/01/2023 09:58 AM","70800.00","October","PENDING"
97,"AM/BV/837","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:57 AM","10/01/2023 09:57 AM","88500.00","October","PENDING"
98,"AM/BV/836","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:57 AM","10/01/2023 09:57 AM","88500.00","October","PENDING"
99,"AM/BV/835","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:57 AM","10/01/2023 09:57 AM","70800.00","October","PENDING"
100,"AM/BV/834","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:56 AM","10/01/2023 09:56 AM","88500.00","October","PENDING"
101,"AM/BV/833","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:56 AM","10/01/2023 09:56 AM","88500.00","October","PENDING"
102,"AM/BV/832","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:56 AM","10/01/2023 09:56 AM","70800.00","October","PENDING"
103,"AM/BV/831","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:55 AM","10/01/2023 09:55 AM","88500.00","October","PENDING"
104,"AM/BV/830","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:55 AM","10/01/2023 09:55 AM","88500.00","October","PENDING"
105,"AM/BV/829","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:55 AM","10/01/2023 09:55 AM","70800.00","October","PENDING"
106,"AM/BV/828","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:54 AM","10/01/2023 09:54 AM","88500.00","October","PENDING"
107,"AM/BV/827","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:54 AM","10/01/2023 09:54 AM","88500.00","October","PENDING"
108,"AM/BV/826","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:54 AM","10/01/2023 09:54 AM","70800.00","October","PENDING"
109,"AM/BV/825","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:53 AM","10/01/2023 09:53 AM","88500.00","October","PENDING"
110,"AM/BV/824","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:53 AM","10/01/2023 09:53 AM","88500.00","October","PENDING"
111,"AM/BV/823","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:53 AM","10/01/2023 09:53 AM","70800.00","October","PENDING"
112,"AM/BV/822","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:52 AM","10/01/2023 09:52 AM","88500.00","October","PENDING"
113,"AM/BV/821","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:52 AM","10/01/2023 09:52 AM","88500.00","October","PENDING"
114,"AM/BV/820","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:52 AM","10/01/2023 09:52 AM","70800.00","October","PENDING"
115,"AM/BV/819","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:51 AM","10/01/2023 09:51 AM","88500.00","October","PENDING"
116,"AM/BV/818","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:51 AM","10/01/2023 09:51 AM","88500.00","October","PENDING"
117,"AM/BV/817","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:51 AM","10/01/2023 09:51 AM","70800.00","October","PENDING"
118,"AM/BV/816","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:50 AM","10/01/2023 09:50 AM","88500.00","October","PENDING"
119,"AM/BV/815","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:50 AM","10/01/2023 09:50 AM","88500.00","October","PENDING"
120,"AM/BV/814","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:50 AM","10/01/2023 09:50 AM","70800.00","October","PENDING"
121,"AM/BV/813","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:49 AM","10/01/2023 09:49 AM","88500.00","October","PENDING"
122,"AM/BV/812","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:49 AM","10/01/2023 09:49 AM","88500.00","October","PENDING"
123,"AM/BV/811","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:49 AM","10/01/2023 09:49 AM","70800.00","October","PENDING"
124,"AM/BV/810","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:48 AM","10/01/2023 09:48 AM","88500.00","October","PENDING"
125,"AM/BV/809","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:48 AM","10/01/2023 09:48 AM","88500.00","October","PENDING"
126,"AM/BV/808","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:48 AM","10/01/2023 09:48 AM","70800.00","October","PENDING"
127,"AM/BV/807","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:47 AM","10/01/2023 09:47 AM","88500.00","October","PENDING"
128,"AM/BV/806","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:47 AM","10/01/2023 09:47 AM","88500.00","October","PENDING"
129,"AM/BV/805","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:47 AM","10/01/2023 09:47 AM","70800.00","October","PENDING"
130,"AM/BV/804","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:46 AM","10/01/2023 09:46 AM","88500.00","October","PENDING"
131,"AM/BV/803","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:46 AM","10/01/2023 09:46 AM","88500.00","October","PENDING"
132,"AM/BV/802","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:46 AM","10/01/2023 09:46 AM","70800.00","October","PENDING"
133,"AM/BV/801","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:45 AM","10/01/2023 09:45 AM","88500.00","October","PENDING"
134,"AM/BV/800","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:45 AM","10/01/2023 09:45 AM","88500.00","October","PENDING"
135,"AM/BV/799","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:45 AM","10/01/2023 09:45 AM","70800.00","October","PENDING"
136,"AM/BV/798","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:44 AM","10/01/2023 09:44 AM","88500.00","October","PENDING"
137,"AM/BV/797","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:44 AM","10/01/2023 09:44 AM","88500.00","October","PENDING"
138,"AM/BV/796","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:44 AM","10/01/2023 09:44 AM","70800.00","October","PENDING"
139,"AM/BV/795","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:43 AM","10/01/2023 09:43 AM","88500.00","October","PENDING"
140,"AM/BV/794","Rama road - delhi TVS","Sabharwal Automobiles","TVS","North","Delhi","New Delhi","M-05","10/01/2023 09:43 AM","10/01/2023 09:43 AM","88500.00","October","PENDING"
141,"AM/BV/793","Whitefield - Trijal Motors","Trijal Motors","TVS","South","Karnataka","Bengaluru","M-03","10/01/2023 09:43 AM","10/01/2023 09:43 AM","70800.00","October","PENDING"
142,"AM/BV/792","Varaccha - Patel Mobility ","Patel Mobility LLP","TVS","West","Gujarat","Surat","M-04","10/01/2023 09:42 AM","10/01/2023 09:42 AM","88500.00","October","PENDING"
